"age","disabilities","uk_ethnic_origin","gender","sexual_orientation","transgender","years_experience","scenario_name","scenario_role","scenario_description","scenario_job_title","scenario_organisation_size","scenario_organisation_sector","scenario_organisation_sector_other","scenario_expertise_portfolio_risk_management_governance","scenario_expertise_portfolio_social_organisation_strategy_and_process","scenario_expertise_portfolio_cyber_security_law_regulation","scenario_expertise_portfolio_political_aspects_of_cyber_security","scenario_expertise_portfolio_human_factors_and_usable_security","scenario_expertise_portfolio_security_culture_narrative_and_communication","scenario_expertise_portfolio_privacy_online_rights","scenario_expertise_portfolio_data_science_ai_for_cyber_security","scenario_expertise_portfolio_malware_attack_technologies","scenario_expertise_portfolio_adversarial_behaviours","scenario_expertise_portfolio_security_operations_incident_management","scenario_expertise_portfolio_forensics","scenario_expertise_portfolio_cryptography","scenario_expertise_portfolio_operating_systems_virtualisation_security","scenario_expertise_portfolio_distributed_systems_security","scenario_expertise_portfolio_formal_methods_for_security","scenario_expertise_portfolio_authentication_authorisation_accountability","scenario_expertise_portfolio_software_security","scenario_expertise_portfolio_web_mobile_security","scenario_expertise_portfolio_secure_software_lifecycle","scenario_expertise_portfolio_network_security","scenario_expertise_portfolio_cloud_security","scenario_expertise_portfolio_applied_cryptography","scenario_expertise_portfolio_hardware_security","scenario_expertise_portfolio_cyber_physical_systems","scenario_expertise_portfolio_physical_layer_and_telecommunications_security"
"40-49","No, I do not have a disability, or a history/record of having one","White","Female","Yes","No","15","Introducing people centric thinking into phishing simulations","Current role","Everyone thinks phishing simulations can simply be done and put little thought into the impact and the reasons they want to do them. They have heard that you have to have them, they hear that they have to be 'real' and 'hard' and that they can just do what they want to internal staff because they are security. ","Lead Cyber Security Specialist","Large (250 employees or more)","utilities and production (including manufacturing)",NA,"52.81","61.73","89.85","72.98","95.2","87.65","64.88","62.55","61.59","51.3","26.2","2.19","2.19","2.33","3.02","2.19","3.16","2.19","56.79","2.33","16.74","3.43","7.96","2.74","3.98","2.33"
"50-59","No, I do not have a disability, or a history/record of having one","White","Male","No","No","11","Cyber Awareness","Current role","Little if any awareness programmes in the MOD.  Championed a pan service programme with ambassadors","Cyber Skills Consultant","Medium (50 to 249 employees)","Other (please state)","Government Programmea","49.13","49.42","19.65","0","64.74","85.84","9.83","0","10.69","31.79","0","0.58","0","0","0.58","2.02","52.89","12.14","0","0","10.69","0","0.87","32.66","10.69","0"
"30-39","No, I do not have a disability, or a history/record of having one","Asian (Indian, Pakistani, Bangladeshi, Chinese, any other Asian background)","Female","No","No","7","Client advisory on security investment to the board","Current role","Client X wanted us to advise on where security investment is most needed to improve cyber security maturity and demonstrate value for money. This was off the back of a lengthy engagement of a cyber risk audit and therefore built on a strong understanding of their controls and weaknesses. They wanted to present this to the board and justify it in the context of their network and the wider threat environment.","Consultant","Large (250 employees or more)","professional, scientific, and technical",NA,"100","76.5","31.81","0","47.85","94.27","0","0","66.48","71.63","78.51","0","0","0","0","80.8","82.81","0","73.35","0","67.62","76.79","24.64","79.37","0","0"
"50-59","I prefer not to answer","White","Male","No","No","20","Malware link in email","Previous role","Every employee received an email from an adversary. The link was linked via an image in the email which no longer existed so had the red X. However, users, we knew, would click it anyway and it was 5pm on a Friday so must users would have been on their mobile devices.","Cyber Security Director","Large (250 employees or more)","Other (please state)","Gambling, we created online casinos.","83.16","49.05","80.49","9.19","48.93","100","0","0","94.49","81.21","100","54.88","0","21.24","0","32.52","18.88","13.78","13.09","2.25","66.83","8.41","0","0","1.3","0"
"50-59","No, I do not have a disability, or a history/record of having one","White","Male","No","No","4","Medical research","Current role","specialist medical research equipment requiring public internet access whilst being hosted on private network and using old vulnerable technology","Enterprise Security Architect","Large (250 employees or more)","education",NA,"86.56","47.19","43.62","10.84","70.23","61.87","1.78","0","83.13","94.1","67.22","9.33","3.16","28.12","3.16","6.04","49.66","73.8","57.89","59.95","94.65","27.85","6.58","77.37","39.09","70.1"
"30-39","No, I do not have a disability, or a history/record of having one","White","Male","No","No","11","Realistic attack simulation","Current role","0","Manager - Penetration Tester (consultancy)","Large (250 employees or more)","professional, scientific, and technical",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30-39","No, I do not have a disability, or a history/record of having one","White","Female","No","No","11","Third Party Cyber Incident (Supply Chain)","Current role","Supplier suffered a cyber incident.  The supplier provided 7 different services to our business, all of which needed to be contained and so were no long operational.  An assessment needed to be completed before any of these services could be reinstated to ensure the supplier had eradicated and recovered effectively.  Customers of our business were contacting to understand if we had been impacted by the same Cyber incident, employees who were consumers of more than one of the services required communications to confirm their data had not been impacted.","Director of Cyber Operations & Engineering","Large (250 employees or more)","transport and storage",NA,"39.51","55.69","89.3","81.48","0","90.67","50.07","0","10.97","0","86.15","0","0","0","81.48","0","26.89","0","0","0","91.5","0","0","0","0","0"
"30-39","Yes, I have a mental disability or neurodiversity, or have a history/record of having one","Black/African/Caribbean","Female","No","No","0","Terraform config issues ","Current role","While onboarding an app for SSO and authentication purposes, I had issues with the terraform code - the code didn’t initially accept expressions for extended attributes. ","Associate IAM technical analyst","Large (250 employees or more)","finance and insurance",NA,"16.47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","74.86","0","0","6.65","0","0","0","0","0","0"
"40-49","No, I do not have a disability, or a history/record of having one","Other (Arab or any others)","Male","No","No","13","security and privacy by design solutions","Current role","Combining various PETs","Senior Lecturer","Large (250 employees or more)","education",NA,"42.25","0","0","0","0","0","68.59","0","0","0","0","0","45.27","0","0","0","0","0","0","0","0","0","69.14","0","54.05","0"
"30-39","No, I do not have a disability, or a history/record of having one","White","Male","No","No",NA,"Advice on E2EE","Current role","Providing technical advice to non-technical colleagues about End to End Encryption","Principal - Security","Large (250 employees or more)","Other (please state)","Public sector","47.74","48.56","61.18","49.11","48.97","31.69","54.05","0","0","0","0","0","41.43","0","0","0","0","0","0","0","34.16","0","98.35","0","0","0"
"50-59","No, I do not have a disability, or a history/record of having one","White","Male","No","No",NA,"Incident Response is a business requirement, not just for the IT/Cyber team(s)","Current role","Often people think that cyber maturity, resilience, and response is just for the cyber or IT teams to do. Promoting that it there are multiple groups that will be affected and impacted by a successful compromise and making them aware and appreciate their role to play and to consider what their individual playbook would look like is a difficult but important task to achieve. Evidence based metrics to promote the risk and then cyber resilience exercises involving key stakeholders that then promote wider engagement down the line is a necessary tool to have in your armour. ","Cyber Consultancy Owner and Consultant","Micro (1 to 9 employees)","professional, scientific, and technical",NA,"81.48","100","59.53","75.17","84.22","100","52.26","34.02","60.08","73.53","81.07","20.44","18.93","26.47","29.08","29.49","38.41","43.9","43.48","48.29","43.62","34.29","13.58","38.27","39.78","17.15"
"20-25","Yes, I have both a mental and physical disability, or have a history/record of having them","White","Male","No","No",NA,"testing of decryptor","Current role","On receiving a decryptor for an ongoing ransomware incident, we had to conduct tests to ensure that it was legitimate and had no malicious component. This involved conducting OSINT to see if any other organisations had released any findings as well as conducting static and dynamic testing in an isolated environment. ","Cyber Security Consultant","Small (10 to 49 employees)","information and communications",NA,"0","0","0","0","0","0","0","0","96.02","83.95","76.27","65.84","0","50.75","0","0","0","13.03","0","0","14.13","0","0","13.31","0","0"
"40-49","I prefer not to answer","White","Male","No","No",NA,"Intrusion ","Current role","Multiple APT intrusions of infrastructure and cloud hosted services ","Founder of own cyber security consultancy ","Micro (1 to 9 employees)","Other (please state)","CNI ","98.28","0","0","50.72","0","0","0","0","80.23","99.43","100","73.07","0","36.96","0","0","81.09","33.24","17.48","0","33.52","80.52","20.06","0","20.34","0"
"40-49","No, I do not have a disability, or a history/record of having one","Asian (Indian, Pakistani, Bangladeshi, Chinese, any other Asian background)","Male","No","No",NA,"Drop shipped onto voip","Previous role","Got pulled from a job testing building management/HVAC systems to taking lead on assessing encrypted VoIP systems. Had to give a crash course on OT testing to more junior colleagues before switching assignments ","Security consultant ","Large (250 employees or more)","Other (please state)","Cyber security consultancy ","2.98","11.09","7.29","9.73","19.76","43.33","5.67","1.85","70.16","100","2.21","9.73","49.3","49.93","1.51","36.02","88.59","71.79","62.65","9.73","69.35","9.73","69.73","64.47","59.36","77.75"
"40-49","No, I do not have a disability, or a history/record of having one","White","Male","No","No",NA,"Implementation of Cyber Security, detection engineering processes","Current role","Requirement to build out a cyclical, threat detection and engineering process which required:

- Understanding of Primary Threat Adversaries and identification of their TTPs.

- Threat Hunting capability for aforementioned TTPs (and other Indicators of Compromise).

- Detection Engineering capability (for creation of signals, signatures and detections, specific to the aforementioned TTPs), delivering these into production.

- Event Triage and Investigation to Incident esclation including containment, eradication and recovery.

- Feedback mechansim of observed incidents, back into Intelligence teams to close the loop. (Detection Lifecycle Management).","Cyber Operations, Operations Manager","Large (250 employees or more)","finance and insurance",NA,"100","100","69.82","0","0","100","64.61","17.7","100","100","100","41.29","0","0","96.98","96.16","99.86","96.02","0","90.26","87.65","95.88","0","90.95","100","0"
"40-49","No, I do not have a disability, or a history/record of having one","White","Male","No","No",NA,"Security Lead on an Infrastructure Transformation Programme","Previous role","Assure the security of the organisations data and applications during a move and in the new environments: cloud and private data centre. ","Security Consultant/Architect","Large (250 employees or more)","finance and insurance","0","42.52","0","9.19","3.57","2.33","0","10.29","0","20.03","16.19","9.6","0","4.8","26.06","0","0","30.32","3.16","5.76","0","56.38","41.84","0","2.74","0","41.98"
"50-59","No, I do not have a disability, or a history/record of having one","White","Male","No","No",NA,"private by design challenge","Current role","enterprise cloud architecture design principles","Enterprise Security Architect","Large (250 employees or more)","education",NA,"75.86","43.76","90.4","5.21","10.01","73.94","7.68","86.15","93.14","92.18","82.58","28.94","31.28","49.52","77.64","24.01","62","76.82","83.13","18.52","63.92","96.3","34.02","7.96","2.74","22.22"
"30-39","No, I do not have a disability, or a history/record of having one","White","Male","No","No",NA,"Realistic attack simulation","Current role","We were contracted to deliver a Red Team/simulated cyber attack exercise against a client, and the client was insistent that only external attack scenarios were simulated. Input from a broad range of specialisms and from senior levels in the consultancy was needed to persuade the client that the external-only constraint would limit the value of the exercise, and that ‘assumed breach’ and/or ‘insider threat’ scenarios were realistic, legitimate concerns. Providing initial access to the Red Team testers would not amount to “cheating”. Equally, risk management and governance input was needed to persuade the client that the operational risks of conducting the exercise, to the client’s systems and data, were manageable. ","Manager - Penetration Tester (consultancy)","Large (250 employees or more)","professional, scientific, and technical",NA,"80.99","57.03","72.4","10.68","65.63","59.11","18.23","15.63","100","100","63.28","3.91","13.28","43.75","15.89","27.34","82.81","49.74","47.4","16.41","82.29","57.81","28.91","7.03","20.57","88.02"
